date,ci.lo,ci.hi
2021-12-04,5659.02921922402,6234.83155037522
2021-12-08,6612.64569695035,7380.6482516366
2021-12-13,8141.06658151045,9101.06977486827
2021-12-17,8806.88168609292,11015.08861567939
2021-12-21,8992.495609133,12928.30911703657
2021-12-25,9274.50902123583,15514.9289477886
2021-12-28,9652.92192240141,18581.94954494651
2021-12-31,10511.735589972861,21649.56889669488
2022-01-02,11276.34520197988,25101.9878652403
2022-01-05,12231.95752834104,29993.613284368512
2022-01-08,13476.3691521635,35748.6428229283
2022-01-12,14528.5805524509,40830.67220182021
2022-01-15,15676.19351748363,45145.69695034328
2022-01-18,16824.80440683379,49364.92096439406
2022-01-21,18356.81781893661,52720.54127414977
2022-01-25,19793.6292511576,54826.95992335941
2022-01-30,21421.24381286924,54531.1751556762
2022-02-02,22760.45824684656,52413.57975411144
2022-02-05,23811.67172281654,50105.7799776465
2022-02-07,24575.08382564267,47605.7799776465
2022-02-10,25051.09372505189,44625.57879610411
2022-02-13,25430.70413539837,41933.77774229602
2022-02-15,25414.13060833466,39049.97604981638
2022-02-17,25318.93661184736,36262.17467667253
2022-02-19,24931.54239182501,34146.97429346958
2022-02-21,24544.14817180265,31936.17276065783
2022-02-23,24060.75363244452,30397.37346319655
2022-02-25,23577.55867794986,28666.57352706371
2022-02-26,22231.75794347757,27416.37394220023
2022-02-28,NA,26166.17435733675
